ListingKey,ListingID,HostID,Capacity,MinNights,MaxNights,Price,EstRevenue,EstOccupancy,Avail30Days,Avail60Days,Avail90Days,Avail365Days,TotalReviews,ReviewsLast12Months,ReviewsLast30Days,ReviewsLastYear,ReviewsPerMonth,Rating,AccuracyRating,CleanlinessRating,CheckInRating,CommunicationRating,LocationRating,ValueRating
4199,13258556,5189524,2,30,1125,,,0,0,0,0,0,20,0,0,0,0.16,4.8,4.9,4.8,4.9,5,4.8,4.7
4200,13259442,6458590,4,30,1125,,,0,0,0,0,0,149,0,0,0,1.22,4.8,4.9,4.7,4.9,4.9,4.8,4.8
4201,13264690,38815234,2,30,1125,65.82,0,0,0,22,52,327,78,0,0,0,0.65,4.8,4.9,4.9,5,5,4.7,4.7
4202,13266202,14291958,2,30,30,,,0,0,0,0,0,2,0,0,0,0.02,4,3,3.5,3,5,4.5,3.5
4203,13280459,74873757,2,30,60,,,0,0,0,0,0,4,0,0,0,0.03,4.8,5,4.8,5,4.8,5,5
4204,13280923,74879324,1,30,30,99.37,0,0,28,33,33,33,54,0,0,0,0.44,4.9,4.9,4.9,5,5,4.8,4.9
4205,13282284,42682752,1,30,30,,,0,0,0,0,0,16,0,0,0,0.13,4.9,4.9,4.9,4.8,4.9,4.9,4.9
4206,13291508,67661003,1,30,65,81.64,4898,60,30,60,90,201,68,1,0,2,0.66,4.8,4.9,4.9,4.9,4.9,4.8,4.8
4207,13294325,75034279,1,30,1125,91.2,16416,180,30,60,90,270,86,3,0,3,0.77,4.7,4.8,4.7,4.9,4.9,4.6,4.6
4208,13294471,75032421,2,30,1125,158.07,0,0,30,60,90,365,147,0,0,0,1.21,5,5,5,5,5,4.8,5
4209,13295613,23874992,2,30,90,578.9,0,0,28,58,88,363,14,0,0,0,0.12,4.9,4.8,4.8,4.9,4.9,4.9,4.8
4210,13295693,10633027,2,30,365,76.67,9200,120,11,13,14,121,184,2,0,3,1.57,4.9,5,4.9,5,4.9,4.8,4.9
4211,13298602,75084422,1,30,60,116.45,0,0,0,5,35,125,83,0,0,0,1.43,4.9,4.9,4.6,5,4.9,4.9,4.9
4212,13300639,75115101,2,30,1125,136.43,0,0,0,11,41,101,216,0,0,0,1.77,5,5,5,5,5,5,4.9
4213,13307480,74180901,2,30,1125,,,0,0,0,0,0,175,0,0,0,1.44,4.7,4.9,4.5,4.9,4.9,4.7,4.8
4214,13314206,2383846,3,30,60,,,0,0,0,0,0,5,0,0,0,0.04,5,5,5,5,5,4.8,4.8
4215,13316028,6459374,2,30,365,,,0,0,0,0,0,5,0,0,0,0.04,5,5,5,5,5,4.8,5
4216,13317650,75294999,2,2,1125,741,0,0,16,36,52,309,46,0,0,1,0.83,4.5,4.6,4.1,4.9,4.9,4.3,4.5
4217,13328254,20932025,2,30,1125,,,0,0,0,0,0,6,0,0,0,0.05,5,5,5,5,5,5,5
4218,13355002,75730551,4,2,90,284.5,72548,255,5,20,50,319,481,29,1,37,3.94,4.8,4.9,4.8,4.9,4.9,4.7,4.8
4219,13355711,39644709,1,30,1125,,,0,0,0,0,0,1,0,0,0,0.01,5,5,5,4,5,4,5
4220,13358067,7097844,3,30,1125,,,0,0,0,0,0,3,0,0,0,0.02,4.7,5,5,5,5,5,5
4221,13359798,4413028,2,30,1125,,,0,0,0,0,0,16,0,0,0,0.13,4.8,4.9,4.7,5,4.9,4.9,4.8
4222,13360068,26928086,4,30,1125,,,0,0,0,0,0,6,0,0,0,0.05,4.7,5,4.8,5,4.7,4.8,4.7
4223,13360675,8500680,2,30,1125,111.73,0,0,29,59,89,89,36,0,0,0,0.3,4.5,4.6,4.4,4.8,4.9,4,4.7
4224,13371699,2455767,4,30,90,123.41,29618,240,0,13,37,288,166,4,0,5,1.38,4.9,4.9,4.9,5,4.9,5,4.8
4225,13375642,1949282,1,30,60,53.5,3210,60,0,6,35,35,54,1,0,1,0.49,4.9,5,4.9,5,4.9,4.7,4.9
4226,13380274,23356064,6,30,1125,,,0,0,0,0,0,0,0,0,0,,,,,,,,
4227,13386091,75793151,6,30,58,,,0,0,0,0,0,22,0,0,0,0.18,4.6,4.7,4.6,5,5,4.6,4.6
4228,13388210,61391963,2,30,365,149.48,26906,180,0,16,46,321,31,3,0,4,0.29,4.7,4.9,4.5,4.9,4.9,5,4.5
4229,13388649,1544804,3,30,360,157.81,40242,255,0,28,58,59,320,8,1,7,2.68,4.9,4.9,4.9,5,5,4.8,4.9
4230,13389756,6574489,3,30,1125,,,0,0,0,0,0,9,0,0,0,0.07,4.9,5,4.8,4.9,5,5,4.9
4231,13392858,16437254,4,30,365,168.93,20272,120,0,0,0,225,25,2,0,4,0.24,4.6,4.8,4.6,4.9,4.8,4.9,4.4
4232,13392941,23335662,2,30,1125,,,0,0,0,0,0,3,0,0,0,0.02,5,5,4.3,5,5,5,5
4233,13395084,74789787,4,30,44,,,0,0,0,0,0,2,0,0,0,0.02,5,5,5,5,5,5,5
4234,13396969,96755,2,30,1125,,,0,0,0,0,0,39,0,0,0,0.32,5,5,5,4.9,4.9,4.8,4.9
4235,13397316,54454582,2,30,1125,115.07,0,0,0,12,42,168,149,0,0,0,1.78,4.5,4.7,4.7,4.6,4.8,4.8,4.5
